0.30 агрн. инарҭбааны	0,30 грн. подробнее
Аҩызцәа ыҟаӡам	Нет друзей
Аҩызцәа ыҟаӡам	Ни одного друга не найдено
Аҩызцәеи аҽаҵаҩҩцәеи	Друзья и подписчики
аҩызцәеи аҩызцәа рҩызцәеи рзы	друзьям и друзьям друзей
Аҩызҵәа рҩызцәа рҟынтә	От друзей друзей
Аҩышьаԥҟаратә агха	Орфографическая ошибка
Бабл + Гам = Orbit	Бабл + Гам = Orbit
Бабруиск	Бобруйск
Баиконур	Байконур
Баит/Баитк/Баитк	Байт/Байта/Байт
Бақәа	Баку
Балдеи	Балдей
Бангладеш	Бангладеш
Банни	Банни
Бао	Бао
Барбадос	Барбадос
Баша аӡәы бзиа данубо	Когда просто любишь
Баша аицәажәарагьы зны-зынла уарҭынчыр алшоит, насгьы иунаҭар агәыӷра. Шәыҽимыжәда шәҩыза, шәҩызаӡӷаб, мамза шәуа-шәҭынха. Иашәҳәа гәыкала шәиацәажәар шышәҭаху.	Иногда даже самая простая беседа может успокоить чувства и подарить новые силы. Вы можете связаться с другом, подругой или родственником и сказать, что вы хотели бы поговорить с ним или с ней. Попробуйте объяснить, почему именно сейчас для вас это особенно важно.
Беер Шева	Беэр Шева
Беимакс	Бэймакс
Бела	Белла
Белиз	Белиз
Белиок	Белёк
бел. мааҭ.	бел. руб.
Белорустәыла	Беларуси
Белорустәыла	Беларусь
Бельцы	Бельцы
Бельчик	Бельчик
Бемби	Бемби
Бенин	Бенин
Бернард	Бернард
Бета	Бета
Бетси	Бэтси
Бжьаратәла аҭакҟаҵара аамҭа — {time}	Среднее время ответа — {time}
бжьык/бжьык/бжьык	голос/голоса/голосов
Бзанҵы	Никогда
Бзиа збаша!	Привет!
Бзиа избо ахәмаррақәа	Любимые игры
Бзиа избо	Люблю
Бзиа избоу ателешоуқәа	Любимые телешоу
Бзиала шәаабеит	Добро пожаловать
Бзиала шәаабеит!	Добро пожаловать!
Бзиарак анышәҵа. Иаршанхааит!	Напишите что-нибудь доброе. Пусть удивятся!
Бзиара шәбааит, {link}%s{/link}. Шәара ишәоуит:	Здравствуйте, %s. Вы получили:
Бзиара шәбааит!	Здравствуйте!
Бзиара шәымазааит! Амузыка азхьаԥшра ахьацышәҵаз ишәызҳархиеит аҳамҭа. Ишәгәалаҳаршәоит, иара агәаҭаратә аамҭа нҵәоит {date}.	Привет! У нас для вас подарок за продление подписки на музыку. Напомним, что её пробный период закончится {date}.
Би-2	Би-2
БИК:	БИК:
Билаин:	Билайн:
Бин	Бин
Бинго!	Бинго!
Бисквит	Бисквит
Блиуз	Блюз
Бобби Баббл	Бобби Баббл
Боб	Боб
Боксберри	Боксберри
Бонаире, Синт-Естатиус насгьы Саба	Бонайре, Синт-Эстатиус и Саба
Бориа	Боря
Босниеи Герцеговинеи	Босния и Герцеговина
Ботсвана	Ботсвана
Брауни	Брауни
Брендбук	Брендбук
Брендбук ВКонтакте	Брендбук ВКонтакте
Брест	Брест
Бриак	Бряк
Бри и Блиу	Бри и Блю
Британиа Дуӡӡа	Великобритания
Бублик	Бублик
Бу	Бу
Бун	Бун
Бургер Кинг	Бургер Кинг
Бурунди	Бурунди
Бусинка	Бусинка
Былгариа	Болгария
Вавилон-Мобаил	Вавилон-Мобайл:
Валериа Базенкова	Валерия Базенкова
Валериа Белоусова	Валерия Белоусова
Валериа Фортуна	Валерия Фортуна
Валери Матиухин	Валерий Матюхин
Валмера	Valmiera
Вануату	Вануату
Вариант аныхра	Удалить вариант
Ватикан	Ватикан
В	В
Введите текст...	Введите текст...
ВДВ амш	День ВДВ
Веб-камерала аҭыхра	Снимок с веб-камеры
Везет	Везет
Вел	Вэл
Венҭспилс	Ventspils
видеонҵамҭакгьы амаӡам	пока нет видео
видеонҵамҭакгьы имаӡам	пока нет видео
видеонҵамҭакгьы шәымаӡам	ни одной видеозаписи
видеоҭаҩра/видеоҭаҩрак/видеоҭаҩрак	видеозапись/видеозаписи/видеозаписей
Вика Ахш	Вика Молоко
Вика Молоко	Вика Молоко
Вик	Вик
Вики-ҳәаақәҵара	Вики-разметка
Вилниус	Vilnius
Вильианди	Viljandi (Вильянди)
Винки	Винки
Винница	Винница
Винс	Винс
Виргинтәи адгьылбжьахақәа, Британиатәи	Виргинские острова, Великобритания
Виргинтәи адгьылбжьахақәа, ЕАШ	Виргинские острова, США
Виталик	Виталя
Виу	Вью
Виужьик	Вьюжик
Вицебсқ	Витебск
ВК адыррақәа	Database
ВК азы	Для ВК
ВКонтакте 10 шықәса	ВКонтакте 10 лет
ВКонтакте API	ВКонтакте API
ВКонтакте аартра	Открыть ВКонтакте
ВКонтакте — абри:	ВКонтакте — это:
ВКонтакте | Агәрамгаратә саит ахь азхьарԥш	ВКонтакте | Ссылка на подозрительный сайт
ВКонтакте агәыԥ	Группа ВКонтакте
ВКонтакте агәыԥ	Команда ВКонтакте
/ВКонтакте Администрациа	Администрация ВКонтакте
ВКонтакте ажәабжьқәа	Новости ВКонтакте
ВКонтакте | Азхьарԥшра-агырхара зыхьӡу	ВКонтакте | Ссылка-сокращение
ВКонтакте аӡыргара	Реклама ВКонтакте
ВКонтакте | Аиасра адәныҟатәи азхьарԥшла	ВКонтакте | Переход по внешней ссылке
ВКонтакте аилазааратә гәыԥ	Сообщество ВКонтакте
ВКонтакте аҟны адаҟьа шәымамзар, мамзаргьы асаит аҭалара шәылымшозар, абри аҭыӡҭыԥ ахь ашәҟәы ҳзышәҩыр ҟалоит {tag}	Если у вас нет страницы ВКонтакте или войти на сайт нет возможности, вы можете написать нам по адресу {tag}
ВКонтакте аҟны иҵабыргу ахьыӡқәа шәхы иашәырхәалароуп, инагӡаны, аԥсуа нбанқәа рыла иҩны.	ВКонтакте необходимо использовать настоящее имя в полной форме, написанное русскими буквами.
ВКонтакте ала аҭалара	Войти через ВКонтакте
ВКонтакте ала ацхыраара	Помощь по ВКонтакте
ВКонтакте ала заагара ҟало атакси	Такси, которое можно вызвать прямо через ВКонтакте
