Аилазааратә гәыԥ архиагақәа	Настройки сообщества
Ақьаад шәҩызцәеи шәҽаҵаҩҩцәеи рҟынӡа азнагара	Поделиться файлом с вашими друзьями и подписчиками
Ақәратәи аҳәаакрақәа арбара	Указать возрастные ограничения
Ахылаԥшҩы ибӷьыц харҭәааӡам	Карточка куратора не заполнена
Иашәырба шәыбжьылда аномер.	Введите номер вашего телефона.
Ԥыҭҩык аиҿцәажәаҩцәа ралхра	Выбрать несколько собеседников
Ауадаҩра азыцҳара.	Сообщить о проблеме.
Ааԥхьара адкылоуп.	Приглашение принято.
Абжьынҵамҭа ацҵара	Добавить аудиозапись
Авеб-камера аҿыхра	Отключить веб-камеру
Авидеонҵамҭа ахьыӡ	Название видеозаписи
Авидеонҵамҭа ныхра	Удаление видеозаписи
Ажәеиларкка ацҵара	Добавить комментарий
Аиҿцәажәаҩ иацҵара	Добавить собеседника
Ақалақьтә еиҿкаара	Городское сообщество
Аҟәша ахьӡ аԥсахра	Переименовать раздел
Алахәылаҩцәа ԥшаам	Участники не найдены
Алахтыреи аҟазареи	Культура и искусство
Алаҳәарақәа рҿыхра	Отключить оповещения
Амобилтә ахархәага	Мобильное устройство
Амузыкатә аизгақәа	Музыкальные подборки
Аԥхын шԥашәхыжәга?	Как вы провели лето?
Аԥшранҵа аҭагалара	Загрузить фотографию
Аԥшранҵазы азашшра	Жалоба на фотографию
Арацәа хыԥхьаӡара:	Множественное число:
